transaction_id,sender_address,receiver_address,amount,timestamp,gas_fee,transaction_count,wallet_age,is_fraud
468cdbfc-7656-4ba1-b19a-63c48641742d,0xacf553a6c48626b8352391171f35474c1d5fa884,0xd5ad3554f84e5b4763be790c92044914ec6bc9fb,36.0507,1716224983,0.078713,186,81,0
54f0ad62-1504-4492-9b9b-a52fb755deb9,0x890bd96226890bc0fc02af0c5199550d4bf74a5f,0x84bae551539f7c59fcc7974f2ee38b671391c07c,8.4255,1727036627,0.067098,148,322,0
2a863a31-e577-416a-8403-0abd52e2207e,0x36440a7ac59ea20733dcf64fbd114cd2e5884bc2,0x7249fb7c701ee8db060bc37f062bc1dbc7618f6a,71.0799,1724626429,0.083439,84,322,0
85ca3850-d2b9-4a3c-aec9-2085ec97e9e4,0x07c98f452383a76cf60e2813567885e0c6fda4b1,0x20952be50ca832907ffc048fe731d9a7e6e62d3b,69.0019,1734362615,0.068309,351,269,1
13b33c3b-88c5-4bfd-ab3a-71c548255738,0xca5818a381cac32c3106c62393fa73c90a002b1e,0x5fa0ced60a9bc916e6d7b07edfcf2665de888d0d,6.4898,1731246782,0.094111,431,141,1
486b4ce2-0ca9-4445-9902-983562fbd692,0x86e8b542c392cffbcc4fa02321e85d5064401b69,0x121a81486fe36822032ddb622517f053bed5a2b2,86.8824,1740130791,0.092441,346,265,1
c0e626cd-f8c9-4280-8e9c-9eaaecfc03c3,0x9d4c29ab786a29e22aa714642cc3013af8afbf7e,0x9569f3ac34f7d553381e240c8fcbd46480c2d29d,55.2931,1729105987,0.051384,26,362,0
8387171c-fd98-426f-a72d-b6c5404a46f0,0xa0e0971412489facd664b4103e952b6be3609c65,0xd035620826532b2b8c0c073dc4f49fc3a9062460,24.8909,1738006320,0.055331,498,94,1
e00bc99e-5d7d-45ac-86ae-6568e42081cb,0x1cd55bd0b6efb93893d4c909cd57418ac56b418d,0xaafa446f0338373f8c05305a938e8b7b087750db,34.6517,1741552320,0.096591,466,174,1
3be8919f-e2b2-4528-a02e-59d23a18a5a4,0x255591cf020ea0bc9f236352204c49c48de45b74,0x74687f4a3efc87b2fbc0c3b18dafe4fc8a9682a5,26.4565,1725830632,0.041362,251,289,0
a46cf394-9a93-45ea-9feb-9cb7d50b03ac,0x7bc8e99e1428f5e993deb633011d3460c0f88fa4,0x16c86a79e741b011db2745719eab10d0875239cd,36.3811,1722974396,0.051568,52,10,0
a3850232-c932-4928-a35a-9776ff6eb3ae,0xab117029873b0051a0d4b677a14e9920d5c4e1a0,0x4dfd7f4c045d143c337ced4fd3e12a56167471e1,68.3993,1717023276,0.054213,82,346,0
50c03dcb-f96a-4680-be61-f5620e728aae,0x48ae2dc46b8602428aa04b09fb4861628032ae04,0x8e2949a27bf64fe6566648a08ccccd9b77e88341,7.8805,1723854995,0.09366,8,286,0
b33b1083-cdd3-441f-8e98-9e61cc5f8373,0x5a38f279f8538e40f13438f762b9dac62128e552,0x1c194f97ce8dae316443b657f98b18e3b2461213,83.1658,1737817886,0.088127,445,159,1
